capability_id,capability_family,name,initial_lane,target_node,status,priority,inputs,outputs,validator,human_gate,notes
deed-mosaic-v1,Parcel Mosaic,Assemble subject and adjoiner record mosaic,HYBRID,CERTA-SERVER,PLANNED,P2,"subject/adjoiner plots;title context","mosaic;common-corner network;conflict list",loop closure and source-provenance validation,PLS review,"No automatic legal boundary conclusion"
deed-field-delta-v1,Truth QC,Compare deed segments to field geometry,SCRIPT,CERTA-SERVER,PLANNED,P4,"record lines;field lines","bearing/distance deltas;offsets;residuals",independent coordinate check,Survey tech/PLS review,"Expose translation rotation and true disagreement"
public-road-extract-v1,Public Source Extraction,Extract candidate roads and drives,HYBRID,CERTA-SERVER,PLANNED,P3,"ortho;LiDAR;terrain","grey EXTRACT road edges/centerlines;confidence",visual/corridor and paired-edge QC,Survey tech review,"Planning evidence only"
public-drain-extract-v1,Public Source Extraction,Extract candidate drains and thalwegs,HYBRID,CERTA-SERVER,PLANNED,P3,"surface;point cloud;terrain","grey EXTRACT drain geometry;confidence",low-corridor and smoothness QC,Survey tech review,"Preserve true breaks/confluences"
public-feature-extract-v1,Public Source Extraction,Extract structures fences streams ridges and access context,HYBRID,CERTA-SERVER,PLANNED,P3,"ortho;LiDAR;GIS;prior data","grey EXTRACT feature layers;confidence",source-specific validation,Survey tech review,"Do not imply field/legal status"
workmap-build-v1,Workmap,Build field-ready workmap package,HYBRID,CERTA-SERVER,PLANNED,P3,"PL;record evidence;extracts;field evidence","DXF;KMZ;PNG/PDF;CONTROL/FIELD/STAKEOUT CSV;action register",layer/color/output and source-manifest validation,Field lead review,"Yellow PL input; green search; red found; blue set; orange control; grey EXTRACT"
shoot-road-drain-v1,Workmap,Create SHOOT ROAD and SHOOT DRAIN field actions,SCRIPT,CERTA-SERVER,PLANNED,P3,"working boundary;road/drain extracts","green action geometry and callouts",intersection/proximity and duplicate-action validation,Field lead review,"Public geometry stays grey"
f-series-label-overlay-v1,Workmap,Create requested F-range label overlay,SCRIPT,CERTA-SERVER,PLANNED,P3,"requested F range;point CSV","DXF labels only",range completeness and no-unrelated-entity validation,Survey tech review,"No vectors leaders or unrelated point families"
field-return-manifest-v1,Field Return,Inventory and preserve field-return package,SCRIPT,CERTA-SERVER,PLANNED,P4,"JOB/JXL/T02/CSV/photos/notes","field source manifest;hashes;warnings",file-count/hash/readback validation,None,"Raw files remain authoritative"
field-point-classify-v1,Field Return,Classify BASE NS TRV control search found and set observations,HYBRID,CERTA-SERVER,PLANNED,P4,"field files;vectors;descriptions","classified point register;uncertainty list",vector/source and description rule validation,Survey tech review,"Do not infer field observation from point number alone"
field-workmap-update-v1,Field Return,Update workmap and stakeout after field return,HYBRID,CERTA-SERVER,PLANNED,P4,"classified points;record evidence;current workmap","updated DXF/KMZ/CSVs;unresolved actions",status/color/lineage and output validation,Field lead review,"Preserve unique point-event lineage"
set-point-qc-package-v1,Field Return,Attach final evidence and QC to S point,SCRIPT,CERTA-SERVER,PLANNED,P4,"P/F lineage;field result;resolution;checks","S-point QC package",required-evidence and residual validation,PLS review,"QC must travel with final set point"
ldt-tbc-dispatch-v1,Specialist Dispatch,Dispatch Land Desktop/TBC CAD operation,SPECIALIST,MSI,PARTIAL,P0,"server task;approved package","CAD output;validator result;receipt",named command and output readback validation,Operator review,"No arbitrary shell"
cloudcompare-dispatch-v1,Specialist Dispatch,Dispatch point-cloud processing,SPECIALIST,APPROVED-NODE,PLANNED,P5,"point-cloud task package","processed outputs;QC;receipt",tool-specific validator,Operator review,"Server remains task owner"
webodm-dispatch-v1,Specialist Dispatch,Dispatch orthophoto processing,SPECIALIST,APPROVED-NODE,PLANNED,P5,"image package;control;settings","ortho;reports;receipt",WebODM report and control validation,Operator review,"Do not auto-promote mapping output to survey truth"
truth-engine-v1,Truth QC,Promote reject or review candidate evidence,HYBRID,CERTA-SERVER,PLANNED,P5,"candidate;source;record;field;control","decision proposal;residuals;confidence;receipt",deterministic checks and reviewer identity,PLS/qualified reviewer,"No qualified reviewer means no promotion"
continuous-project-update-v1,Continuous Update,React to new evidence and update project next action,SCRIPT,CERTA-SERVER,PLANNED,P5,"file/event/task receipts","updated project state;next task;notifications",state-machine and receipt validation,PM review for exceptions,"EVENT->RULE->SCRIPT->AI if needed->VALIDATOR->RECEIPT"
capability-promotion-v1,Learning Loop,Convert repeated Codex work into verified skill,HYBRID,CERTA-SERVER,PLANNED,P6,"3+ similar verified Codex receipts","candidate script/skill;tests;validator;review packet",regression suite and human approval,Admin/domain reviewer,"Model confidence alone cannot promote capability"
